sample_id,cluster,env_biome,group_biome,env_feature,env_material,empo_1,empo_2,empo_3,envo_biome_0,envo_biome_1,envo_biome_2,country,latitude_deg,longitude_deg,depth_m,elevation_m,adiv_observed_otus,adiv_chao1,adiv_shannon,adiv_faith_pd,temperature_deg_c,ph,salinity_psu,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l
1289.KH33,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1017,1703.28409090909,8.5515138397424,88.028503260549,NA,NA,NA,NA,NA,NA
1289.KH34,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1029,1921.78125,8.39822292335539,84.991578983336,NA,NA,NA,NA,NA,NA
1289.KH35,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1059,1918.57714285714,8.53401510396106,88.3566448512039,NA,NA,NA,NA,NA,NA
1289.KH36,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,940,1499,8.39681688374023,82.136968620936,NA,NA,NA,NA,NA,NA
1289.KH37,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1002,1756.59146341463,8.3110208445947,83.381142133745,NA,NA,NA,NA,NA,NA
1289.KH38,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,944,1585.51204819277,8.32261528634426,84.754275724146,NA,NA,NA,NA,NA,NA
1289.KH39,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,961,1577.00609756098,8.45340261897771,80.023461816367,NA,NA,NA,NA,NA,NA
1289.KH4,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,927,1664.40875912409,8.38310239440075,73.176384264184,NA,NA,NA,NA,NA,NA
1289.KH40,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,960,1892.02941176471,8.27621490507212,79.79899920061,NA,NA,NA,NA,NA,NA
1289.KH41,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,942,1557.72625698324,8.15231973888422,79.96262303919,NA,NA,NA,NA,NA,NA
1289.KH42,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,886,1448.52083333333,8.25054820121321,69.469655338196,NA,NA,NA,NA,NA,NA
1289.KH43,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,850,1459.46153846154,8.02911208026216,72.4281286807361,NA,NA,NA,NA,NA,NA
1289.KH44,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,968,1643.75,8.2414316816485,81.344675425975,NA,NA,NA,NA,NA,NA
1289.KH45,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,937,1675.36486486487,8.2322694833702,78.5052625046959,NA,NA,NA,NA,NA,NA
1289.KH46,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,883,1520.5,8.15508193674511,75.366044637259,NA,NA,NA,NA,NA,NA
1289.KH47,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,909,1524.31481481481,8.07334079471506,75.641435001764,NA,NA,NA,NA,NA,NA
1289.KH48,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,888,1510.75,8.02832699480394,74.572661728884,NA,NA,NA,NA,NA,NA
1289.KH49,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,909,1540.60416666667,8.32975473594018,72.930904336915,NA,NA,NA,NA,NA,NA
1289.KH50,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,966,1563.22159090909,8.34324671076449,77.207429012253,NA,NA,NA,NA,NA,NA
1289.KH51,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1001,1653.9010989011,8.4019392890126,85.276806171885,NA,NA,NA,NA,NA,NA
1289.KH52,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,874,1451.08904109589,8.15939379253801,74.516183295028,NA,NA,NA,NA,NA,NA
1289.KH53,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1039,1949.02,8.69528101073057,80.596080262671,NA,NA,NA,NA,NA,NA
1289.KH54,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1087,2024.64204545455,8.45124334655661,91.73199448323,NA,NA,NA,NA,NA,NA
1289.KH55,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,903,1531.54225352113,8.29832929327274,72.976283334606,NA,NA,NA,NA,NA,NA
1289.KH56,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,860,1396.93661971831,8.17886712166917,72.563956983846,NA,NA,NA,NA,NA,NA
1289.KH57,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,861,1439.7619047619,8.12510595179747,69.922759420934,NA,NA,NA,NA,NA,NA
1289.KH58,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,946,1445.94318181818,8.41553905019336,77.8113551270361,NA,NA,NA,NA,NA,NA
1289.KH59,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,879,1503.31034482759,8.17688608844743,75.344495829175,NA,NA,NA,NA,NA,NA
1289.KH6,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1001,1740.63125,8.4117973733285,78.426846491323,NA,NA,NA,NA,NA,NA
1289.KH60,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1042,1822.01714285714,8.51818523825296,85.0824935647463,NA,NA,NA,NA,NA,NA
1289.KH61,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,938,1675.60689655172,8.30828495322969,80.046562571477,NA,NA,NA,NA,NA,NA
1289.KH63,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,902,1654.84210526316,8.13374152310427,74.0072119966409,NA,NA,NA,NA,NA,NA
1289.KH64,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,914,1647.77464788732,8.16780503029773,81.638222413021,NA,NA,NA,NA,NA,NA
1289.KH65,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,911,1614.63815789474,8.12969777195003,79.738762646315,NA,NA,NA,NA,NA,NA
1289.KH7,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1000,1820.51497005988,8.26341829703112,86.240214711221,NA,NA,NA,NA,NA,NA
1289.KH8,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1000,1970.2,8.23344863795181,89.835298058791,NA,NA,NA,NA,NA,NA
1289.KH9,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,876,1525.52054794521,7.93011916120835,73.218266082912,NA,NA,NA,NA,NA,NA
1673.MBS0119.3,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.78075,-117.22251,1,0,194,241.51724137931,4.75673321845191,34.402241620757,NA,NA,NA,NA,NA,NA
1673.MBS0330.3,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.78075,-117.22251,1,0,31,57.25,1.03511612217064,7.73197144441,NA,NA,NA,NA,NA,NA
1673.MBS0330.4,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.77074,-117.21865,1,0,183,215.217391304348,4.01268350815763,33.21058730302,NA,NA,NA,NA,NA,NA
1673.MBS0428.1,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.77119,-117.21115,1,0,197,241.451612903226,4.93423832098647,36.852378645321,NA,NA,NA,NA,NA,NA
1673.MBS0428.3,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.78075,-117.22251,1,0,147,221.545454545455,5.00892968711016,25.45920072101,NA,NA,NA,NA,NA,NA
1673.MBS0428.4,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.77074,-117.21865,1,0,275,302.348837209302,6.60307617565261,44.5265596448961,NA,NA,NA,NA,NA,NA
1673.MBS0428.5,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.78149,-117.22209,1,0,12,13,1.44758576491111,3.91666267734,NA,NA,NA,NA,NA,NA
1673.MBS0613.3,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.78075,-117.22251,1,0,179,206.75,5.24386065350301,34.487949073186,NA,NA,NA,NA,NA,NA
1673.MBS0613.4,10,marine biome,AQUATIC_MARINE,bay,marine sediment,Free-living,Saline,Sediment (saline),biome,aquatic biome,marine biome,GAZ:United States of America,32.77074,-117.21865,1,0,339,395.632653061225,6.73612325797931,56.9784842569201,NA,NA,NA,NA,NA,NA
