dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
Global_Topsoil,grouped_biomes,34,Microvirga,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga,2.6627,0.5548
Global_Topsoil,grouped_biomes,35,Agromyces,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces,2.6248,0.3838
Global_Topsoil,grouped_biomes,36,AKYG587,Planctomycetota,Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;AKYG587,2.5824,0.2662
Global_Topsoil,grouped_biomes,37,Candidatus Xiphinematobacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Xiphinematobacteraceae;Candidatus Xiphinematobacter,2.5534,0.781
Global_Topsoil,grouped_biomes,38,Crossiella,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Crossiella,2.5053,0.9822
Global_Topsoil,grouped_biomes,39,Silvibacterium,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Silvibacterium,2.4961,0.6101
Global_Topsoil,grouped_biomes,40,Plot4-2H12,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Plot4-2H12,2.4884,0.4795
Global_Topsoil,grouped_biomes,41,Iamia,Actinomycetota,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia,2.4044,0.402
Global_Topsoil,grouped_biomes,42,Kribbella,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella,2.3736,0.7311
Global_Topsoil,grouped_biomes,43,Phaselicystis,Myxococcota,Bacteria;Myxococcota;Polyangiia;Polyangiales;Phaselicystaceae;Phaselicystis,2.3617,0.9001
Global_Topsoil,grouped_biomes,44,Chthonomonas,Armatimonadota,Bacteria;Armatimonadota;Chthonomonadia;Chthonomonadales;Chthonomonadaceae;Chthonomonas,2.3613,0.4384
Global_Topsoil,grouped_biomes,45,Hypericibacter,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Incertae Sedis;Incertae Sedis;Hypericibacter,2.289,0.9222
Global_Topsoil,grouped_biomes,46,Piscinibacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Piscinibacter,2.2569,1.0463
Global_Topsoil,grouped_biomes,47,SH-PL14,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;SH-PL14,2.2161,0.3277
Global_Topsoil,grouped_biomes,48,Inquilinus,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Azospirillales;Inquilinaceae;Inquilinus,2.1649,0.4402
Global_Topsoil,grouped_biomes,49,Steroidobacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter,2.1449,0.6538
Global_Topsoil,grouped_biomes,50,Micromonospora,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora,2.1129,0.386
EMP_Soil_Subset,original_biomes,1,Sphingomonas,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,10.7566,7.0851
EMP_Soil_Subset,original_biomes,2,Paenibacillus,Firmicutes,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus,10.6671,13.5192
EMP_Soil_Subset,original_biomes,3,Candidatus Udaeobacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter,9.3865,19.2268
EMP_Soil_Subset,original_biomes,4,Planococcaceae,Firmicutes,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,9.3564,6.2137
EMP_Soil_Subset,original_biomes,5,ADurb.Bin063-1,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1,9.1659,18.0483
EMP_Soil_Subset,original_biomes,6,IS-44,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;IS-44,8.6208,3.5883
EMP_Soil_Subset,original_biomes,7,Pseudonocardia,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia,8.561,6.4551
EMP_Soil_Subset,original_biomes,8,Asanoa,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Asanoa,8.5254,7.0869
EMP_Soil_Subset,original_biomes,9,Citrifermentans,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans,8.3711,17.8103
EMP_Soil_Subset,original_biomes,10,GOUTA6,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;GOUTA6,8.3653,3.3585
EMP_Soil_Subset,original_biomes,11,Pseudarthrobacter,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter,8.2346,2.3817
EMP_Soil_Subset,original_biomes,12,Actinobacteriota,Actinobacteriota,Bacteria;Actinobacteriota,8.234,5.9166
